"","variable","metric","value","stat","comparison"
"114","CIB","Temperature","28","max","variable"
"115","FBE","Temperature","26.2","max","variable"
"116","FBB","Temperature","24.7","max","variable"
"117","WBE","DO","3.28","min","variable"
"118","WBB","DO","2.91","min","variable"
"119","PGE","DO","1.69","min","variable"
"120","PGB","DO","3.24","min","variable"
"121","CIE","DO","2.18","min","variable"
"122","CIB","DO","2.95","min","variable"
"123","FBE","DO","0.15","min","variable"
"124","FBB","DO","0.37","min","variable"
"125","WBE","pH","7.64","min","variable"
"126","WBB","pH","7.08","min","variable"
"127","PGB","pH","6.71","min","variable"
"128","CIE","pH","7.48","min","variable"
"129","CIB","pH","7.23","min","variable"
"130","FBE","pH","7.4","min","variable"
"131","FBB","pH","6.95","min","variable"
"132","WBE","Salinity","28.9","min","variable"
"133","WBB","Salinity","24.8","min","variable"
"134","PGE","Salinity","23.6","min","variable"
"135","CIB","Salinity","22.8","min","variable"
"136","FBE","Salinity","33.1","min","variable"
"137","FBB","Salinity","32.6","min","variable"
"138","WBE","Temperature","13.5","min","variable"
"139","WBB","Temperature","11.2","min","variable"
"140","PGE","Temperature","12.9","min","variable"
"141","PGB","Temperature","12.8","min","variable"
"142","CIE","Temperature","12.5","min","variable"
"143","CIB","Temperature","12.4","min","variable"
"144","FBE","Temperature","11.9","min","variable"
"145","FBB","Temperature","11.5","min","variable"
"146","WBE","DO","8.57","median","variable"
"147","WBB","DO","8.74","median","variable"
"148","PGE","DO","10.33","median","variable"
"149","PGB","DO","10.89","median","variable"
"150","CIE","DO","10.57","median","variable"
"151","CIB","DO","9.3","median","variable"
"152","FBE","DO","9.48","median","variable"
"153","FBB","DO","9.61","median","variable"
"154","WBE","pH","7.82","median","variable"
"155","WBB","pH","7.66","median","variable"
"156","PGB","pH","7.44","median","variable"
"157","CIE","pH","7.94","median","variable"
"158","CIB","pH","7.64","median","variable"
"159","FBE","pH","7.92","median","variable"
"160","FBB","pH","7.48","median","variable"
"161","WBE","Salinity","32.1","median","variable"
"162","WBB","Salinity","29.7","median","variable"
"163","PGE","Salinity","30.5","median","variable"
"164","CIB","Salinity","29.6","median","variable"
"165","FBE","Salinity","38.8","median","variable"
"166","FBB","Salinity","38","median","variable"
"167","WBE","Temperature","17.9","median","variable"
"168","WBB","Temperature","17.9","median","variable"
"169","PGE","Temperature","14.7","median","variable"
"170","PGB","Temperature","14.6","median","variable"
"171","CIE","Temperature","16.1","median","variable"
"172","CIB","Temperature","16","median","variable"
"173","FBE","Temperature","14.6","median","variable"
"174","FBB","Temperature","14.6","median","variable"
"PGE.pH.high","PGE","pH","NaN","Percent.high","variable"
"PGB.pH.high","PGB","pH","0.00346385542168675","Percent.high","variable"
"FBE.pH.high","FBE","pH","0.317917350440101","Percent.high","variable"
"FBB.pH.high","FBB","pH","0.00383085310151761","Percent.high","variable"
"WBE.pH.high","WBE","pH","0","Percent.high","variable"
"WBB.pH.high","WBB","pH","0","Percent.high","variable"
"CIE.pH.high","CIE","pH","0.324571943526585","Percent.high","variable"
"CIB.pH.high","CIB","pH","0.0534706077715045","Percent.high","variable"
"PGE.pH.low","PGE","pH","NaN","Percent.low","variable"
"PGB.pH.low","PGB","pH","0.724246987951807","Percent.low","variable"
"FBE.pH.low","FBE","pH","0.0693719230195435","Percent.low","variable"
"FBB.pH.low","FBB","pH","0.710328569323707","Percent.low","variable"
"WBE.pH.low","WBE","pH","0","Percent.low","variable"
"WBB.pH.low","WBB","pH","0.382385730211817","Percent.low","variable"
"CIE.pH.low","CIE","pH","0.050165214779213","Percent.low","variable"
"CIB.pH.low","CIB","pH","0.403354367319827","Percent.low","variable"
"PGEpH.1","PGE","pH","NaN","Percent.sd.1.loc","variable"
"PGBpH.1","PGB","pH","35.7831325301205","Percent.sd.1.loc","variable"
"FBEpH.1","FBE","pH","32.0304341339699","Percent.sd.1.loc","variable"
"FBBpH.1","FBB","pH","37.851775453072","Percent.sd.1.loc","variable"
"WBEpH.1","WBE","pH","30.6416091616503","Percent.sd.1.loc","variable"
"WBBpH.1","WBB","pH","32.9152731326644","Percent.sd.1.loc","variable"
"CIEpH.1","CIE","pH","31.6461399819766","Percent.sd.1.loc","variable"
"CIBpH.1","CIB","pH","26.9345732314846","Percent.sd.1.loc","variable"
