"","Site","T.mean","T.var","T.mean.var","T.over.20","DO.mean","DO.var","DO.mean.var","pH.mean","pH.var","pH.mean.var"
"1","WBE",18.0811406437826,2.05998090554396,37.2468044766469,38.9,9.46254975290504,9.1346731265318,86.4372989363317,7.80906383547009,0.00895059937046151,0.0698958018496523
"2","WBB",17.9651128622946,1.73727858397427,31.2104058343451,43.3,10.1358087351409,19.4012205287348,196.647060507545,7.60862446581197,0.0350151238143266,0.266416927727121
"3","SKE",15.5141034404192,6.60825820351824,102.521201330381,10.1,10.5335156071998,12.4663788637605,131.314796326687,7.52254649827784,0.0797296415558334,0.599769935894782
"4","SKB",15.1341991341991,4.9520047196802,74.9446255411341,6.1,10.2568876737298,20.6483888071156,211.788204638084,7.39273478760046,0.0641408655672206,0.474176408185596
"5","PGE",15.1795428240741,6.46281686518942,98.1026053692909,19,12.5496392350043,39.7302087236191,498.599786212842,NA,NA,NA
"6","PGB",15.1495225694444,8.37364757986965,126.856762999809,24.7,12.3958246527778,17.5284178410475,217.279193998246,7.41551359953704,0.0591398316772744,0.43855222607716
"7","CIE",16.1982709750567,2.87561146788032,46.579933775706,13.2,11.0782369614512,8.53188675659822,94.5182632178628,7.91164115646258,0.0321313104759976,0.25421139837298
"8","CIB",16.0789540816327,2.83251093991814,45.5438133386658,13.8,9.26327947845805,4.8215627374725,44.663483160127,7.71093679138322,0.0709196467482575,0.54685691334304
"9","FBE",14.8587443310658,2.99849475191683,44.5538668967746,6.6,13.4382914171657,64.1612966609165,862.218202232615,7.9003089569161,0.0378994367787275,0.299417259845057
"10","FBB",14.8194302721088,3.07584778308914,45.5823117491101,8,12.1235473356009,53.121080809382,644.015937710823,7.45977182539683,0.0542174532443499,0.404449830156971
